ANO,UF,Código IBGE ,Município,Nº do Decreto,Data do Decreto,Desastre,SE/ECP,Nº da Portaria,Data da Portaria
2009,CE,2300705,ALTO SANTO,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2300804,ANTONINA DO NORTE,-,-,ESTIAGEM,SE,180,-
2009,CE,2300903,APUIARÉS,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2301109,ARACATI,-,-,ESTIAGEM,SE,189,-
2009,CE,2301109,ARACATI,-,-,INUNDAÇÕES,SE,838,-
2009,CE,2301257,ARARENDÁ,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2301307,ARARIPE,-,-,ESTIAGEM,SE,027,-
2009,CE,2301406,ARATUBA,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2301604,ASSARÉ,-,-,ESTIAGEM,SE,077,-
2009,CE,2301802,BAIXIO,29771,01/06/09,INUNDAÇÕES,SE,1003,10/11/09
2009,CE,2301851,BANABUIÚ,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2301901,BARBALHA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2302008,BARRO,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2302057,BARROQUINHA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2302206,BEBERIBE,-,-,ESTIAGEM,SE,028,-
2009,CE,2302206,BEBERIBE,24,18/05/09,INUNDAÇÕES,SE,1126,23/12/09
2009,CE,2302305,BELA CRUZ,-,-,ESTIAGEM,SE,353,-
2009,CE,2302305,BELA CRUZ,29731,11/05/09,INUNDAÇÕES,SE,1004,10/11/09
2009,CE,2302404,BOA VIAGEM,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2302701,CAMPOS SALES,-,-,ESTIAGEM,SE,415,-
2009,CE,2302800,CANINDÉ,29731,11/05/09,INUNDAÇÕES,SE,1107,21/12/09
2009,CE,2302909,CAPISTRANO,18,18/05/09,INUNDAÇÕES,SE,965,30/10/09
2009,CE,2303006,CARIDADE,-,-,ESTIAGEM,SE,078,-
2009,CE,2303006,CARIDADE,29745,19/05/09,INUNDAÇÕES,SE,1106,21/12/09
2009,CE,2303105,CARIRÉ,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2303303,CARIÚS,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2303501,CASCAVEL,-,-,ESTIAGEM,SE,488,-
2009,CE,2303501,CASCAVEL,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2303600,CATARINA,-,-,ESTIAGEM,SE,258,-
2009,CE,2303659,CATUNDA,-,-,ESTIAGEM,SE,138,-
2009,CE,2303659,CATUNDA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2303709,CAUCAIA,-,-,ESTIAGEM,SE,489,-
2009,CE,2303709,CAUCAIA,-,-,EROSÃO COSTEIRA OU MARINHA,SE,531,-
2009,CE,2303808,CEDRO,29731,11/05/09,INUNDAÇÕES,SE,1108,21/12/09
2009,CE,2303907,CHAVAL,-,-,INUNDAÇÕES,SE,836,-
2009,CE,2303931,CHORÓ,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2303956,CHOROZINHO,29731,11/05/09,INUNDAÇÕES,SE,1109,21/12/09
2009,CE,2304004,COREAÚ,29731,11/05/09,INUNDAÇÕES,SE,1005,10/11/09
2009,CE,2304103,CRATEÚS,29731,11/05/09,INUNDAÇÕES,SE,915,02/10/09
2009,CE,2304202,CRATO,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
